Number of threads; Number of execution; Time elapsed [s]
1; 1; 0.06 
1; 2; 0.06 
1; 3; 0.06 
1; 4; 0.06 
1; 5; 0.06 
2; 1; 0.06 
2; 2; 0.06 
2; 3; 0.06 
2; 4; 0.06 
2; 5; 0.06 
4; 1; 0.06 
4; 2; 0.06 
4; 3; 0.06 
4; 4; 0.06 
4; 5; 0.06 
8; 1; 0.06 
8; 2; 0.06 
8; 3; 0.06 
8; 4; 0.06 
8; 5; 0.06 
16; 1; 0.06 
16; 2; 0.06 
16; 3; 0.06 
16; 4; 0.06 
16; 5; 0.06 
32; 1; 0.06 
32; 2; 0.06 
32; 3; 0.07 
32; 4; 0.09 
32; 5; 0.09 
64; 1; 0.09 
64; 2; 0.10 
64; 3; 0.10 
64; 4; 0.09 
64; 5; 0.08 
