Number of threads; Number of execution; Time elapsed [s]
1; 1; 0.00 
1; 2; 0.00 
1; 3; 0.00 
1; 4; 0.00 
1; 5; 0.00 
2; 1; 0.01 
2; 2; 0.01 
2; 3; 0.01 
2; 4; 0.01 
2; 5; 0.01 
4; 1; 0.04 
4; 2; 0.04 
4; 3; 0.04 
4; 4; 0.04 
4; 5; 0.03 
8; 1; 0.05 
8; 2; 0.05 
8; 3; 0.05 
8; 4; 0.05 
8; 5; 0.05 
16; 1; 0.06 
16; 2; 0.04 
16; 3; 0.05 
16; 4; 0.06 
16; 5; 0.05 
32; 1; 0.08 
32; 2; 0.07 
32; 3; 0.08 
32; 4; 0.05 
32; 5; 0.11 
64; 1; 0.09 
64; 2; 0.09 
64; 3; 0.08 
64; 4; 0.08 
64; 5; 0.12 
