Number of threads; Number of execution; Time elapsed [s]
1; 1; 0.04 
1; 2; 0.04 
1; 3; 0.04 
1; 4; 0.04 
1; 5; 0.04 
2; 1; 0.09 
2; 2; 0.08 
2; 3; 0.09 
2; 4; 0.08 
2; 5; 0.08 
4; 1; 0.19 
4; 2; 0.19 
4; 3; 0.19 
4; 4; 0.19 
4; 5; 0.18 
8; 1; 0.57 
8; 2; 0.58 
8; 3; 0.58 
8; 4; 0.59 
8; 5; 0.58 
16; 1; 1.13 
16; 2; 1.14 
16; 3; 1.13 
16; 4; 1.14 
16; 5; 1.12 
32; 1; 2.25 
32; 2; 2.08 
32; 3; 2.10 
32; 4; 2.22 
32; 5; 2.17 
64; 1; 4.20 
64; 2; 4.29 
64; 3; 4.24 
64; 4; 4.24 
64; 5; 4.28 
