Number of threads; Number of execution; Time elapsed [s]
1; 1; 0.00 
1; 2; 0.00 
1; 3; 0.00 
1; 4; 0.00 
1; 5; 0.00 
2; 1; 0.00 
2; 2; 0.00 
2; 3; 0.00 
2; 4; 0.00 
2; 5; 0.00 
4; 1; 0.00 
4; 2; 0.00 
4; 3; 0.00 
4; 4; 0.00 
4; 5; 0.00 
8; 1; 0.00 
8; 2; 0.00 
8; 3; 0.00 
8; 4; 0.00 
8; 5; 0.00 
16; 1; 0.01 
16; 2; 0.01 
16; 3; 0.01 
16; 4; 0.01 
16; 5; 0.01 
32; 1; 0.02 
32; 2; 0.02 
32; 3; 0.02 
32; 4; 0.02 
32; 5; 0.02 
64; 1; 0.04 
64; 2; 0.04 
64; 3; 0.04 
64; 4; 0.04 
64; 5; 0.04 
